"","country","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Population.growth.rate..average.annual...","Sex.ratio..m.per.100.f..2017.","GDP.per.capita..current.US..","Female Labor Paricipation","Male Labor Participation","Unemployment....of.labour.force.","Food.production.index..2004.2006.100.","International.trade..Balance..million.US..","Urban.population....of.total.population.","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Individuals.using.the.Internet..per.100.inhabitants.","Forested.area....of.land.area.","Energy.supply.per.capita..Gigajoules."
"75","Timor-Leste","South-easternAsia",14919,1296,87.2,2.2,103.2,2425.4,26.9,55.6,4.3,117,-553,32.8,5.9,"69.5/66.1",43.9,1.5,0.1,7.8,".../...",38.5,117.4,24,"0.5/0.4","95.2/60.5"
"76","Togo","WesternAfrica",56785,7798,143.4,2.6,99.4,559.4,81,80.7,6.8,143,-1001,40,4.7,"59.8/58.3",55.7,5.2,NA,5.2,"6.4/14.9",17.6,65,80,"2.6/0.4","91.4/44.2"
"77","Turkey","WesternAsia",783562,80745,104.9,1.6,97,9125.8,30.4,71.4,10.8,122,-55996,73.4,2.1,"78.1/71.5",12.6,5.4,1.7,4.8,"88.3/101.0",14.9,96,388,"346.0/4.5","100.0/100.0"
"78","Uganda","EasternAfrica",241550,42863,214.5,3.4,99,647.7,82.3,87.7,2.4,90,-996,16.1,5.9,"60.7/56.5",60.2,7.2,NA,2.2,"4.2/5.4",34.3,50.4,196,"5.2/0.1","95.5/75.8"
"79","Ukraine","EasternEurope",603500,44223,76.3,-0.5,86,2021.6,52.3,67.5,8.8,137,-2815,69.7,1.5,"76.0/66.1",8.8,7.1,3,5.9,"88.4/76.5",12.3,144,102,"227.3/5.1","95.5/97.8"
"80","United States","NorthernAmerica",9833517,324460,35.5,0.7,98,56053.8,55.7,68.1,4.9,113,-796494,81.6,1.9,"81.2/76.5",6,17.1,2.6,5.4,"99.6/72.8",19.1,117.6,1513,"5254.3/16.2","99.4/98.2"
"81","Vanuatu","Melanesia",12189,276,22.7,2.3,102.4,2783,61.7,80.5,5.3,122,-366,26.1,3.4,"73.6/69.4",24.3,5,0.2,5.5,".../...",0,66.2,137,"0.2/0.6","98.9/92.9"
"82","Vietnam","South-easternAsia",330967,95541,308.1,1.1,98,2067.9,73.9,83.3,2.2,134,2520,33.6,2,"80.3/70.7",19.3,7.1,1.2,5.7,"28.9/28.8",26.7,130.6,616,"166.9/1.8","99.1/96.9"
"83","Virgin Islands","Caribbean",347,105,299.7,-0.2,91.1,NA,52.5,70.7,9,109,NA,95.3,2.3,"81.5/76.7",9.3,NA,NA,NA,NA,NA,NA,58,NA,"100.0/100.0"
"84","Yemen","WesternAsia",527968,28250,53.5,2.6,102.1,1106.4,26.2,73.7,16.1,137,-6291,34.6,4.4,"65.6/62.8",47.2,5.6,0.3,NA,"6.1/13.7",0,68,298,"22.7/0.9","72.0/46.5"
"85","Zambia","EasternAfrica",752612,17094,23,3,98.5,1311.1,69.9,80.9,7.4,180,-937,40.9,5.2,"61.9/57.5",53.8,5,0.2,NA,"3.4/4.5",18,74.5,88,"4.5/0.3","85.6/51.3"
"86","Zimbabwe","EasternAfrica",390757,16530,42.7,2.3,95,890.4,78,87.5,5,98,-2379,32.4,4,"59.0/56.1",46.5,6,0.1,8.4,"8.0/8.9",32.6,84.8,89,"12.0/0.8","97.0/67.3"
